Abbreviation,Full Form
J Vinyl Addit Technol,Journal of Vinyl & Additive Technology
J Virol Methods,Journal of Virological Methods
J Virol,Journal of Virology
J Volcanol Geotherm Res,Journal of Volcanology and Geothermal Research
J Wide Bandgap Mater,Journal of Wide Bandgap Materials
J Wood Chem Technol,Journal of Wood Chemistry and Technology
Kagaku Kyoto,Kagaku (Kyoto)
Kagaku Kogaku Ronbunshu,Kagaku Kogaku Ronbunshu
Kagaku Kogaku,Kagaku Kogaku
Kagaku to Seibutsu,Kagaku to Seibutsu
Kako Gijutsu Osaka,Kako Gijutsu (Osaka)
Kan Tan Sui,"Kan, Tan, Sui"
Kauch Rezina,Kauchuk i Rezina
Kautsch Gummi Kunstst,"Kautschuk + Gummi, Kunststoffe"
KEK Proc,KEK Proceedings
KemKemi,Kemia - Kemi
Kem Ind,Kemija u Industriji
Kemikaru Enjiniyaringu,Kemikaru Enjiniyaringu
Kem Tidskr,Kemisk Tidskrift
Key Eng Mater,Key Engineering Materials
KGK Kautsch Gummi Kunstst,"KGK, Kautschuk Gummi Kunststoffe"
Khim Fiz,Khimicheskaya Fizika
Khim Promst Moscow,Khimicheskaya Promyshlennost (Moscow)
Khim Promst St Petersburg Russ Fed,"Khimicheskaya Promyshlennost (St. Petersburg, Russian Federation)"
Khim Promst Segodnya,Khimicheskaya Promyshlennost Segodnya
Khim Volokna,Khimicheskie Volokna
Khim Neft Mashinostr,Khimicheskoe i Neftyanoe Mashinostroenie
KhimFarm Zh,Khimiko-Farmatsevticheskii Zhurnal
Khim Drev,Khimiya Drevesiny
Khim Geterotsikl Soedin,Khimiya Geterotsiklicheskikh Soedinenii
Khim Tekhnol Topl Masel,Khimiya i Tekhnologiya Topliv i Masel
Khim Tekhnol Vody,Khimiya i Tekhnologiya Vody
Khim Prir Soedin,Khimiya Prirodnykh Soedinenii
Khim Tverd Topl Moscow Russ Fed,"Khimiya Tverdogo Topliva (Moscow, Russian Federation)"
Khim Interesakh Ustoich Razvit,Khimiya v Interesakh Ustoichivogo Razvitiya
Khim Vys Energ,Khimiya Vysokikh Energii
Khim Selsk Khoz,Khimizatsiya Sel'skogo Khozyaistva
Kidney Int,Kidney International
Kinet Catal,Kinetics and Catalysis (Translation of Kinetika i Kataliz)
Kinet Katal,Kinetika i Kataliz
Kino Zairyo,Kino Zairyo
Kjemi,Kjemi
Kobunshi Ronbunshu,Kobunshi Ronbunshu
Kogyo Zairyo,Kogyo Zairyo
Koks Khim,Koks i Khimiya
Kokuritsu Kogai Kenkyusho Kenkyu Hokoku,Kokuritsu Kogai Kenkyusho Tokubetsu Kenkyu Hokoku
Kolloidn Zh,Kolloidnyi Zhurnal
Kompleksn Ispolz Miner Syrya,Kompleksnoe Ispol'zovanie Mineral'nogo Syr'ya
Koord Khim,Koordinatsionnaya Khimiya
Korean J Chem Eng,Korean Journal of Chemical Engineering
KozhObuvn Promst,Kozhevenno-Obuvnaya Promyshlennost
Kratk Soobshch Fiz,Kratkie Soobshcheniya po Fizike
Kristallografiya,Kristallografiya
Kunststoffe,Kunststoffe
Kvantovaya Elektron Moscow,Kvantovaya Elektronika (Moscow)
Lab Chip,Lab on a Chip
Lab Anim,Laboratory Animals
Lab Invest,Laboratory Investigation
Lab Pract,Laboratory Practice
Lakokras Mater Ikh Primen,Lakokrasochnye Materialy i Ikh Primenenie
Langmuir,Langmuir
Laser Part Beams,Laser and Particle Beams
Laser Chem,Laser Chemistry
Latv Kim Z,Latvijas Kimijas Zurnals
LCGC North Am LCGC North America,LCGC North America
LCGC,LC-GC
LebensmWiss Technol,Lebensmittel-Wissenschaft und -Technologie
Lect Notes Phys,Lecture Notes in Physics
Lett Drug Des Discovery,Letters in Drug Design & Discovery
Lett Org Chem,Letters in Organic Chemistry
Lett Pept Sci,Letters in Peptide Science
Liebigs Ann Chem,Liebigs Annalen der Chemie
Liet Fiz Rinkinys,Lietuvos Fizikos Rinkinys
Life Sci,Life Sciences
Light Met Warrendale Pa,"Light Metals (Warrendale, Pennsylvania)"
Lihua Jianyan Huaxue Fence,"Lihua Jianyan, Huaxue Fence"
Linchan Huaxue Yu Gongye,Linchan Huaxue Yu Gongye
Lipids,Lipids
Liq Cryst,Liquid Crystals
Liteinoe Proizvod,Liteinoe Proizvodstvo
Lithos,Lithos
LWTFood Sci Technol,LWT--Food Science and Technology
Macromol Biosci,Macromolecular Bioscience
Macromol Chem Phys,Macromolecular Chemistry and Physics
Macromol Mater Eng,Macromolecular Materials and Engineering
Macromol Rapid Commun,Macromolecular Rapid Communications
Macromol React Eng,Macromolecular Reaction Engineering
Macromol Res,Macromolecular Research
Macromol Symp,Macromolecular Symposia
Macromol Theory Simul,Macromolecular Theory and Simulations
Macromolecules Washington DC U S,"Macromolecules (Washington, DC, United States)"
Macromolecules,Macromolecules
Magnesium Res,Magnesium Research
Magn Reson Chem,Magnetic Resonance in Chemistry
Magy Kem Foly,Magyar Kemiai Folyoirat
Magy Kem Foly Kem Kozl,"Magyar Kemiai Folyoirat, Kemiai Kozlemenyek"
Magy Kem Lapja,Magyar Kemikusok Lapja
Main Group Chem,Main Group Chemistry
Main Group Met Chem,Main Group Metal Chemistry
Makromol Chem,Makromolekulare Chemie
Makromol Chem Macromol Symp,"Makromolekulare Chemie, Macromolecular Symposia"
Makromol Chem Rapid Commun,"Makromolekulare Chemie, Rapid Communications"
Makromol Chem Suppl,"Makromolekulare Chemie, Supplement"
Mamm Genome,Mammalian Genome
Mar Biol Berlin,Marine Biology (Berlin)
Mar Biotechnol,Marine Biotechnology
Mar Chem,Marine Chemistry
Mar Environ Res,Marine Environmental Research
Mar Pollut Bull,Marine Pollution Bulletin
Mass Spectrom Rev,Mass Spectrometry Reviews
Mater Corros,Materials and Corrosion
Mater Manuf Processes,Materials and Manufacturing Processes
Mater Charact,Materials Characterization
Mater Chem Phys,Materials Chemistry and Physics
Mater Eng Modena Italy,"Materials Engineering (Modena, Italy)"
Mater Forum,Materials Forum
Mater Lett,Materials Letters
Mater Res Bull,Materials Research Bulletin
Mater Res Innovations,Materials Research Innovations
Mater Res Soc Symp Proc,Materials Research Society Symposia Proceedings
Mater Res Soc Symp Proc,Materials Research Society Symposium Proceedings
Mater Sci Eng A,"Materials Science & Engineering, A: Structural Materials: Properties, Microstructure and Processing"
Mater Sci Eng B,"Materials Science & Engineering, B: Solid-State Materials for Advanced Technology"
Mater Sci Eng C,"Materials Science & Engineering, C: Biomimetic and Supramolecular Systems"
Mater Sci Technol,Materials Science and Technology
Mater Sci Forum,Materials Science Forum
Mater Sci Semicond Process,Materials Science in Semiconductor Processing
Mater Sci Monogr,Materials Science Monographs
Mater Trans,Materials Transactions
Mater Trans JIM,"Materials Transactions, JIM"
Matrix Biol,Matrix Biology
Meas Sci Technol,Measurement Science & Technology
Meas Sci Technol,Measurement Science and Technology
Mech Dev,Mechanisms of Development
Meded Fac Landbouwwet Rijksuniv Gent,"Mededelingen van de Faculteit Landbouwwetenschappen, Universiteit Gent"
Med Immunol,Medical Immunology
Med Sci Res,Medical Science Research
Med Chem Res,Medicinal Chemistry Research
Med Chem,Medicinal Chemistry
Med Res Rev,Medicinal Research Reviews
Mekh Kompoz Mater Zinatne,Mekhanika Kompositnykh Materialov (Zinatne)
Mem Fac Sci Kyushu Univ Ser C,"Memoirs of the Faculty of Science, Kyushu University, Series C: Chemistry"
Mem Insts Sci Ind Res Osaka Univ,"Memoirs of the Institute of Scientific and Industrial Research, Osaka University"
Mendeleev Commun,Mendeleev Communications
Metab Eng,Metabolic Engineering
Metab Clin Exp,"Metabolism, Clinical and Experimental"
Metabolomics,Metabolomics
Met Ions Biol Syst,Metal Ions in Biological Systems
Metal Ions Biol Syst,Metal Ions in Biological Systems
Met Sci Heat Treat,Metal Science and Heat Treatment (Translation of Metallovedenie i Termicheskaya Obrabotka Metallov)
Metall Berlin,Metall (Berlin)
Metallofizika Akad Nauk Ukr SSR Otd Fiz Astron,Metallofizika (Kiev)
Metallofiz Noveishie Tekhnol,Metallofizika i Noveishie Tekhnologii
Metalloorg Khim,Metalloorganicheskaya Khimiya
Metalloved Term Obrab Met,Metallovedenie i Termicheskaya Obrabotka Matallov
Metall Mater Trans A,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science
Metall Mater Trans B,Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science
Metall Trans A,Metallurgical Transactions A: Physical Metallurgy and Materials Science
Metall Trans B,Metallurgical Transactions B: Process Metallurgy
Metally,Metally
Meteorit Planet Sci,Meteoritics & Planetary Science
Methods Oxford U K,"Methods (Oxford, United Kingdom)"
Methods San Diego CA U S,"Methods (San Diego, CA, United States)"
Methods Finds Exp Clin Pharmacol,Methods and Findings in Experimental and Clinical Pharmacology
Methods Enzymol,Methods in Enzymology
Microbeam Anal,Microbeam Analysis
Microbiology Moscow Russ Fed,"Microbiology (Moscow, Russian Federation)(Translation of Mikrobiologiya)"
Microbiology Reading U K,"Microbiology (Reading, United Kingdom)"
Microbiology Road Town V I Br,"Microbiology (Road Town, Virgin Islands (British))"
Microbiol Immunol,Microbiology and Immunology
Microchem J,Microchemical Journal
Microchim Acta,Microchimica Acta
Microelectron Eng,Microelectronic Engineering
Microporous Mesoporous Mater,Microporous and Mesoporous Materials
Microsc Microanal,Microscopy and Microanalysis
Mikrobiologiya,Mikrobiologiya
Mikrochim Acta,Mikrochimica Acta
Milchwissenschaft,Milchwissenschaft
Miner Deposita,Mineralium Deposita
Mineral Mag,Mineralogical Magazine
Mineral Zh,Mineralogicheskii Zhurnal
Mineral Petrol,Mineralogy and Petrology
Miner Metall Process,Minerals & Metallurgical Processing
Miner Eng,Minerals Engineering
MiniRev Med Chem,Mini-Reviews in Medicinal Chemistry
MiniRev Org Chem,Mini-Reviews in Organic Chemistry
Mitochondrion,Mitochondrion
Mod Phys Lett A,Modern Physics Letters A
Mod Phys Lett B,Modern Physics Letters B
Mol Biochem Parasitol,Molecular and Biochemical Parasitology
Mol Cell Biochem,Molecular and Cellular Biochemistry
Mol Cell Biol,Molecular and Cellular Biology
Mol Cell Endocrinol,Molecular and Cellular Endocrinology
Mol Cell Neurosci,Molecular and Cellular Neuroscience
Mol Cell Probes,Molecular and Cellular Probes
Mol Cell Proteomics,Molecular and Cellular Proteomics
Mol Biol Moscow Russ Fed Engl Ed,"Molecular Biology (Moscow, Russian Federation, English Edition) (Translation of Molekulyarnaya Biologiya)"
Mol Biol N Y NY U S Engl Ed,"Molecular Biology (New York, NY, United States, English Edition)"
Mol Biol Evol,Molecular Biology and Evolution
Mol Biol Cell,Molecular Biology of the Cell
Mol Biol Rep,Molecular Biology Reports
Mol BioSyst,Molecular BioSystems
Mol Biotechnol,Molecular Biotechnology
Mol Brain Res,Molecular Brain Research
Mol Cancer Res,Molecular Cancer Research
Mol Cancer Ther,Molecular Cancer Therapeutics
Mol Carcinog,Molecular Carcinogenesis
Mol Cell,Molecular Cell
Mol Cryst Liq Cryst,Molecular Crystals and Liquid Crystals
Mol Diversity,Molecular Diversity
Mol Ecol,Molecular Ecology
Mol Endocrinol,Molecular Endocrinology
Mol Genet Genomics,Molecular Genetics and Genomics
Mol Genet Metab,Molecular Genetics and Metabolism
Mol Immunol,Molecular Immunology
Mol Med,Molecular Medicine
Mol Membr Biol,Molecular Membrane Biology
Mol Microbiol,Molecular Microbiology
Mol Neurobiol,Molecular Neurobiology
Mol Nutr Food Res,Molecular Nutrition & Food Research
Mol Pharm,Molecular Pharmaceutics
Mol Pharmacol,Molecular Pharmacology
Mol Phylogenet Evol,Molecular Phylogenetics and Evolution
Mol Phys,Molecular Physics
Mol PlantMicrobe Interact,Molecular Plant-Microbe Interactions
Mol Psychiatry,Molecular Psychiatry
Mol Reprod Dev,Molecular Reproduction and Development
Mol Simul,Molecular Simulation
Mol Syst Biol,Molecular Systems Biology
Mol Ther,Molecular Therapy
Mol Vis,Molecular Vision
Mol Cells,Molecules and Cells
Molecules,Molecules
Mol Biol Moscow,Molekulyarnaya Biologiya (Moscow)
Mol Genet Mikrobiol Virusol,"Molekulyarnaya Genetika, Mikrobiologiya i Virusologiya"
Monatsh Chem,Monatshefte fuer Chemie
Mon Not R Astron Soc,Monthly Notices of the Royal Astronomical Society
Mucosal Immunol,Mucosal Immunology
Mutagenesis,Mutagenesis
Mutat Res,Mutation Research
Mutat Res Fundam Mol Mech Mutagen,"Mutation Research, Fundamental and Molecular Mechanisms of Mutagenesis"
Mutat Res Genet Toxicol Environ Mutagen,"Mutation Research, Genetic Toxicology and Environmental Mutagenesis"
Mutat Res Rev Mutat Res,"Mutation Research, Reviews in Mutation Research"
Mycol Res,Mycological Research
Nahrung,Nahrung
Nano Lett,Nano Letters
Nano Sci Nano Technol,Nano Science and Nano Technology
NANO,NANO
NanoBiotechnology,NanoBiotechnology
Nanomedicine N Y NY U S,"Nanomedicine (New York, NY, United States)"
NASA Conf Publ,NASA Conference Publication
Natl Acad Sci Lett India,National Academy Science Letters (India)
NATO ASI Ser Ser A,"NATO ASI Series, Series A: Life Sciences"
NATO ASI Ser Ser B,"NATO ASI Series, Series B: Physics"
NATO ASI Ser Ser C,"NATO ASI Series, Series C: Mathematical and Physical Sciences"
NATO ASI Ser Ser E,"NATO ASI Series, Series E: Applied Sciences"
NATO ASI Ser Ser H,"NATO ASI Series, Series H: Cell Biology"
Nat Prod Commun,Natural Product Communications
Nat Prod Rep,Natural Product Reports
Nat Prod Res,Natural Product Research
Nat Prod Res Part A,"Natural Product Research, Part A: Structure and Synthesis"
Nat Prod Res Part B,"Natural Product Research, Part B: Bioactive Natural Products"
Nat Prod Sci,Natural Product Sciences
Nature London U K,"Nature (London, United Kingdom)"
Nat Biotechnol,Nature Biotechnology
Nat Cell Biol,Nature Cell Biology
Nat Chem Biol,Nature Chemical Biology
Nature Chem,Nature Chemistry
Nat Genet,Nature Genetics
Nat Immunol,Nature Immunology
Nat Mater,Nature Materials
Nat Med N Y NY U S,"Nature Medicine (New York, NY, United States)"
Nat Methods,Nature Methods
Nat Nanotechnol,Nature Nanotechnology
Nat Neurosci,Nature Neuroscience
Nat Photonics,Nature Photonics
Nat Phys,Nature Physics
Nat Protoc,Nature Protocols
Nat Rev Cancer,Nature Reviews Cancer
Nat Rev Drug Discovery,Nature Reviews Drug Discovery
Nat Rev Genet,Nature Reviews Genetics
Nat Rev Immunol,Nature Reviews Immunology
Nat Rev Microbiol,Nature Reviews Microbiology
Nat Rev Mol Cell Biol,Nature Reviews Molecular Cell Biology
Nat Rev Neurosci,Nature Reviews Neuroscience
Nat Struct Mol Biol,Nature Structural & Molecular Biology
Naturwissenschaften,Naturwissenschaften
NaunynSchmiedebergs Arch Pharmacol,Naunyn-Schmiedeberg's Archives of Pharmacology
Neftekhimiya,Neftekhimiya
Neorg Mater,Neorganicheskie Materialy
Neues Jahrb Mineral Abh,"Neues Jahrbuch fuer Mineralogie, Abhandlungen"
Neues Jahrb Mineral Monatsh,"Neues Jahrbuch fuer Mineralogie, Monatshefte"
Neurochem Res,Neurochemical Research
Neurochem Int,Neurochemistry International
Neuroendocrinology,Neuroendocrinology
NeuroImmunoModulation,NeuroImmunoModulation
NeuroMol Med,NeuroMolecular Medicine
Neuron,Neuron
Neuropeptides Amsterdam Neth,"Neuropeptides (Amsterdam, Netherlands)"
Neuropeptides Edinburgh,Neuropeptides (Edinburgh)
Neuropeptides Oxford U K,"Neuropeptides (Oxford, United Kingdom)"
Neuropharmacology,Neuropharmacology
Neuroscience Oxford U K,"Neuroscience (Oxford, United Kingdom)"
Neuroscience San Diego CA U S,"Neuroscience (San Diego, CA, United States)"
Neurosci Lett,Neuroscience Letters
Neurosignals,Neurosignals
Neurotoxicol Teratol,Neurotoxicology and Teratology
New Biotechnol,New Biotechnology
New Diamond Front Carbon Technol,New Diamond and Frontier Carbon Technology
N Engl J Med,New England Journal of Medicine
New J Chem,New Journal of Chemistry
New Phytol,New Phytologist
Nihon Reoroji Gakkaishi,Nihon Reoroji Gakkaishi
Nippon Kagaku Kaishi,Nippon Kagaku Kaishi
Nippon Kikai Gakkai Ronbunshu Ahen,"Nippon Kikai Gakkai Ronbunshu, A-hen"
Nippon Kikai Gakkai Ronbunshu Bhen,"Nippon Kikai Gakkai Ronbunshu, B-hen"
Nippon Kinzoku Gakkaishi,Nippon Kinzoku Gakkaishi
Nippon Nogei Kagaku Kaishi,Nippon Nogei Kagaku Kaishi
Nippon Oyo Jiki Gakkaishi,Nippon Oyo Jiki Gakkaishi
Nippon Seramikkusu Kyokai Gakujutsu Ronbunshi,Nippon Seramikkusu Kyokai Gakujutsu Ronbunshi
Nippon Shokuhin Kogyo Gakkaishi,Nippon Shokuhin Kogyo Gakkaishi
Nippon Suisan Gakkaishi,Nippon Suisan Gakkaishi
Nippon Yakurigaku Zasshi,Nippon Yakurigaku Zasshi
